"time","INTERNAL ENERGY","KINETIC ENERGY","X-MOMENTUM","Y-MOMENTUM","Z-MOMENTUM","MASS","TIME STEP","ROTATION ENERGY","EXTERNAL WORK","SPRING ENERGY","CONTACT ENERGY","HOURGLASS ENERGY","Skull                                     IE ","Skull                                     KE ","Skull                                     XMOM ","Skull                                     YMOM ","Skull                                     ZMOM ","Skull                                     MASS ","Skull                                     HE ","Skull                                     ERODED ","Skull                                     HEAT ","Skin                                      IE ","Skin                                      KE ","Skin                                      XMOM ","Skin                                      YMOM ","Skin                                      ZMOM ","Skin                                      MASS ","Skin                                      HE ","Skin                                      ERODED ","Skin                                      HEAT ","Accel Block                               IE ","Accel Block                               KE ","Accel Block                               XMOM ","Accel Block                               YMOM ","Accel Block                               ZMOM ","Accel Block                               MASS ","Accel Block                               HE ","Accel Block                               ERODED ","Accel Block                               HEAT ","Back Plate                                IE ","Back Plate                                KE ","Back Plate                                XMOM ","Back Plate                                YMOM ","Back Plate                                ZMOM ","Back Plate                                MASS ","Back Plate                                HE ","Back Plate                                ERODED ","Back Plate                                HEAT ","Plate                                     IE ","Plate                                     KE ","Plate                                     XMOM ","Plate                                     YMOM ","Plate                                     ZMOM ","Plate                                     MASS ","Plate                                     HE ","Plate                                     ERODED ","Plate                                     HEAT ","TH-ACCEL                                 1                                          var 58","TH-ACCEL                                 1                                          var 59","TH-ACCEL                                 1                                          var 60","TH-INTER                                 1 Head_Self_contact                        var 61","TH-INTER                                 1 Head_Self_contact                        var 62","TH-INTER                                 1 Head_Self_contact                        var 63","TH-INTER                                 1 Head_Self_contact                        var 64","TH-INTER                                 1 Head_Self_contact                        var 65","TH-INTER                                 1 Head_Self_contact                        var 66","TH-INTER                                 2 Head to Plate                            var 67","TH-INTER                                 2 Head to Plate                            var 68","TH-INTER                                 2 Head to Plate                            var 69","TH-INTER                                 2 Head to Plate                            var 70","TH-INTER                                 2 Head to Plate                            var 71","TH-INTER                                 2 Head to Plate                            var 72","DATABASE_HISTORY_NODE                    5211 Head_Accelerometer                       var 73","DATABASE_HISTORY_NODE                    5211 Head_Accelerometer                       var 74","DATABASE_HISTORY_NODE                    5211 Head_Accelerometer                       var 75","DATABASE_HISTORY_NODE                    5211 Head_Accelerometer                       var 76","DATABASE_HISTORY_NODE                    5211 Head_Accelerometer                       var 77","DATABASE_HISTORY_NODE                    5211 Head_Accelerometer                       var 78","DATABASE_HISTORY_NODE                    5211 Head_Accelerometer                       var 79","DATABASE_HISTORY_NODE                    5211 Head_Accelerometer                       var 80","DATABASE_HISTORY_NODE                    5211 Head_Accelerometer                       var 81","DATABASE_HISTORY_NODE                    5211 Head_Accelerometer                       var 82","DATABASE_HISTORY_NODE                    5211 Head_Accelerometer                       var 83","DATABASE_HISTORY_NODE                    5211 Head_Accelerometer                       var 84","DATABASE_HISTORY_NODE                    5211 Head_Accelerometer                       var 85","DATABASE_HISTORY_NODE                    5211 Head_Accelerometer                       var 86","DATABASE_HISTORY_NODE                    5211 Head_Accelerometer                       var 87"
0.000000e+00,0.000000e+00,1.658587e+04,-8.209784e-07,0.000000e+00,-1.219549e+01,5.733604e-03,3.045894e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.365456e+03,-1.665855e-07,0.000000e+00,-2.474600e+00,9.097795e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.944028e+00,-2.524510e-06,2.427101e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.831055e-04,0.000000e+00,-2.720000e+03,-2.934888e+00,2.524510e-06,6.293325e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.502016e-06,3.095038e-05,4.064249e-06
1.218358e-05,-2.120860e-08,1.658587e+04,-8.209784e-07,-3.355518e-15,-1.219549e+01,5.733604e-03,3.045894e-06,4.018506e-17,0.000000e+00,0.000000e+00,3.183139e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.120860e-08,3.365456e+03,-4.588395e-08,3.368150e-11,-2.474600e+00,9.097795e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.267152e+00,3.705721e-03,2.248931e-02,-2.200445e-10,8.658391e-13,4.737916e-10,3.356336e-10,-1.168732e-12,1.559102e-10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.459424e-09,-5.105411e-14,-3.313933e-02,-2.168871e-04,-1.135025e-08,-2.720000e+03,-3.936844e+00,-3.705721e-03,8.389390e+00,-5.100734e-10,1.266029e-09,3.958995e-10,-1.530638e-04,1.177073e-03,7.991393e-05
2.132126e-05,4.936659e-08,1.658587e+04,-8.209784e-07,-3.260353e-15,-1.219549e+01,5.733604e-03,3.045894e-06,5.828861e-14,0.000000e+00,0.000000e+00,1.150856e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.936659e-08,3.365459e+03,1.168556e-07,2.885532e-10,-2.474601e+00,9.097795e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.779951e+01,1.593916e-02,-9.157801e-02,-5.041071e-10,2.850235e-12,1.085435e-09,8.248249e-10,-4.531580e-12,3.832178e-10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.696247e-09,-5.864935e-13,-5.799383e-02,-2.619763e-04,-9.229866e-08,-2.720000e+03,-7.439388e+00,-1.593916e-02,1.617054e+01,-2.134005e-09,-6.815273e-08,6.372523e-10,2.541412e-04,-3.518985e-02,8.101470e-05
3.045894e-05,1.070119e-07,1.658588e+04,-8.209785e-07,2.724528e-15,-1.219549e+01,5.733604e-03,3.045894e-06,7.964107e-13,0.000000e+00,0.000000e+00,4.299609e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.070119e-07,3.365461e+03,4.059555e-07,7.453451e-10,-2.474601e+00,9.097793e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.533629e+01,-4.074514e-03,-5.961323e-02,-7.072195e-10,3.644014e-12,1.524416e-09,1.175923e-09,-5.843581e-12,5.457476e-10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.548641e-09,-2.120780e-12,-8.284833e-02,-3.408272e-04,-1.895662e-07,-2.720000e+03,-1.065353e+01,4.074514e-03,2.298767e+01,1.408225e-09,-3.855303e-07,2.897295e-09,3.563736e-05,-4.237191e-02,1.059266e-04
4.264251e-05,1.469958e-07,1.658588e+04,-8.209784e-07,2.291176e-14,-1.219549e+01,5.733604e-03,3.045894e-06,2.379481e-12,0.000000e+00,0.000000e+00,4.330564e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.469958e-07,3.365464e+03,9.078398e-07,3.863221e-10,-2.474602e+00,9.097793e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.635121e+01,1.090879e-02,9.303827e-01,-9.636184e-10,4.207695e-12,2.078392e-09,1.619000e-09,-6.741353e-12,7.509153e-10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.272860e-08,-3.570863e-12,-1.159877e-01,-4.786515e-04,-9.751221e-08,-2.720000e+03,-1.197970e+01,-1.090879e-02,2.348912e+01,-6.620777e-10,-7.908300e-07,4.352128e-09,4.960835e-04,8.471308e-03,1.433482e-03
5.178020e-05,2.333526e-07,1.658588e+04,-8.209782e-07,9.545154e-15,-1.219549e+01,5.733604e-03,3.045894e-06,2.123034e-12,0.000000e+00,0.000000e+00,8.461884e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.333526e-07,3.365464e+03,1.271934e-06,9.240182e-10,-2.474602e+00,9.097796e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.354708e+01,2.804679e-02,-6.879110e-01,-1.086430e-09,3.013276e-12,2.344967e-09,1.832216e-09,-4.639489e-12,8.491849e-10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.773972e-08,-5.288367e-12,-1.408422e-01,-5.808695e-04,-2.149778e-07,-2.720000e+03,-9.327951e+00,-2.804679e-02,2.163163e+01,2.636151e-09,-7.376190e-07,7.797129e-09,1.726098e-03,1.863320e-03,-9.746013e-05
6.091788e-05,2.845273e-07,1.658588e+04,-8.209785e-07,1.863428e-14,-1.219550e+01,5.733604e-03,3.045894e-06,9.807129e-13,0.000000e+00,0.000000e+00,4.602397e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.845273e-07,3.365467e+03,1.544451e-06,1.462624e-09,-2.474603e+00,9.097792e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.774582e+01,-1.284145e-02,-1.265783e-01,-1.336596e-09,4.886761e-12,2.882389e-09,2.262043e-09,-7.843021e-12,1.049369e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.353429e-08,-8.089611e-12,-1.656967e-01,-6.581669e-04,-3.086363e-07,-2.720000e+03,-7.384976e+00,1.284145e-02,1.613667e+01,1.230845e-08,-5.753632e-07,6.257426e-09,-2.347101e-04,4.996282e-02,-6.549194e-04
7.005556e-05,3.137516e-07,1.658588e+04,-8.209784e-07,6.943199e-15,-1.219550e+01,5.733604e-03,3.045894e-06,1.066258e-14,0.000000e+00,0.000000e+00,1.975886e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.137516e-07,3.365469e+03,1.776199e-06,9.311520e-10,-2.474604e+00,9.097792e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.842091e+01,1.407727e-02,-1.118369e-01,-1.496442e-09,5.341285e-12,3.226890e-09,2.537575e-09,-8.600909e-12,1.177277e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.996352e-08,-1.010324e-11,-1.905511e-01,-7.265298e-04,-1.749404e-07,-2.720000e+03,-7.683644e+00,-1.407727e-02,1.674229e+01,9.869933e-09,-2.856815e-08,6.477518e-09,-6.607386e-04,5.226973e-02,-7.349845e-04
8.223914e-05,3.870827e-07,1.658588e+04,-8.209787e-07,-5.206516e-15,-1.219550e+01,5.733604e-03,3.045894e-06,3.511629e-13,0.000000e+00,0.000000e+00,2.366404e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.870827e-07,3.365471e+03,2.118336e-06,1.989548e-09,-2.474605e+00,9.097793e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.010379e+01,-1.911304e-02,-1.080868e+00,-1.776685e-09,6.618438e-12,3.829972e-09,3.019921e-09,-1.076323e-11,1.401528e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.955370e-08,-1.451573e-11,-2.236905e-01,-8.243451e-04,-4.775086e-07,-2.720000e+03,-7.516617e+00,1.911304e-02,1.867702e+01,1.459057e-08,2.946380e-07,-4.261302e-09,1.516500e-03,2.410797e-03,-9.078442e-04
9.137682e-05,4.022402e-07,1.658589e+04,-8.209786e-07,3.026580e-14,-1.219550e+01,5.733604e-03,3.045894e-06,9.836749e-13,0.000000e+00,0.000000e+00,2.775208e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.022402e-07,3.365473e+03,2.346358e-06,1.823167e-09,-2.474605e+00,9.097793e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.905835e+01,4.728525e-03,-1.772425e+00,-2.173479e-09,6.643755e-12,4.694505e-09,3.655452e-09,-1.098998e-11,1.693603e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.748813e-08,-1.825823e-11,-2.485450e-01,-8.890313e-04,-4.216485e-07,-2.720000e+03,-6.448032e+00,-4.728525e-03,1.802179e+01,1.813428e-08,4.317300e-07,-8.236587e-09,6.023733e-04,4.467418e-02,7.458999e-04
1.005145e-04,4.577810e-07,1.658589e+04,-8.209787e-07,3.857376e-14,-1.219550e+01,5.733604e-03,3.045894e-06,3.297576e-12,0.000000e+00,0.000000e+00,5.221161e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.577810e-07,3.365474e+03,2.548481e-06,1.762146e-09,-2.474606e+00,9.097795e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.988459e+01,-3.035868e-03,-1.095398e+00,-2.496485e-09,6.833356e-12,5.397801e-09,4.142878e-09,-1.161388e-11,1.917973e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.597101e-08,-2.177633e-11,-2.733995e-01,-9.483694e-04,-3.222908e-07,-2.720000e+03,-7.410811e+00,3.035868e-03,1.848450e+01,2.633430e-08,8.646233e-07,4.390412e-10,7.476588e-07,3.336732e-02,-3.847280e-04
1.126981e-04,5.197747e-07,1.658589e+04,-8.209788e-07,2.784143e-14,-1.219550e+01,5.733604e-03,3.045894e-06,4.208386e-12,0.000000e+00,0.000000e+00,5.285950e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.197747e-07,3.365475e+03,2.904833e-06,3.612399e-10,-2.474607e+00,9.097793e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.972414e+01,2.715893e-02,-8.337269e-01,-2.873132e-09,6.790891e-12,6.216867e-09,4.798024e-09,-1.144257e-11,2.219340e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.827526e-08,-2.306821e-11,-3.065388e-01,-1.049011e-03,2.118047e-08,-2.720000e+03,-7.580155e+00,-2.715893e-02,1.822849e+01,2.140466e-08,1.008979e-06,-4.533650e-09,7.433257e-04,1.664697e-02,-6.924787e-04
1.218358e-04,5.200624e-07,1.658589e+04,-8.209785e-07,2.412270e-14,-1.219550e+01,5.733604e-03,3.045894e-06,8.776786e-12,0.000000e+00,0.000000e+00,1.113372e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.200624e-07,3.365477e+03,3.120916e-06,2.675009e-09,-2.474608e+00,9.097792e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.771652e+01,6.236110e-02,-9.934607e-01,-3.106955e-09,6.635551e-12,6.722378e-09,5.202350e-09,-1.112435e-11,2.406438e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.825396e-08,-2.592453e-11,-3.313933e-01,-1.111848e-03,-5.559322e-07,-2.720000e+03,-6.586934e+00,-6.236110e-02,1.647648e+01,3.353969e-08,1.378406e-06,-6.800426e-09,-6.876257e-04,7.572778e-02,5.331516e-04
1.309734e-04,5.446477e-07,1.658589e+04,-8.209785e-07,8.751976e-15,-1.219550e+01,5.733604e-03,3.045894e-06,1.712352e-11,0.000000e+00,0.000000e+00,4.869574e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.446477e-07,3.365478e+03,3.332616e-06,2.264898e-09,-2.474608e+00,9.097796e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.007707e+01,-3.080379e-02,-6.281900e-01,-3.357121e-09,8.509035e-12,7.259799e-09,5.632177e-09,-1.432792e-11,2.606621e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.879297e-08,-3.142828e-11,-3.562478e-01,-1.175204e-03,-3.910097e-07,-2.720000e+03,-7.915588e+00,3.080379e-02,1.846149e+01,3.231998e-08,2.019342e-06,1.017975e-08,1.169686e-03,4.418183e-02,1.848743e-03
1.401111e-04,5.851061e-07,1.658589e+04,-8.209790e-07,1.277304e-14,-1.219550e+01,5.733604e-03,3.045894e-06,2.125847e-11,0.000000e+00,0.000000e+00,4.647726e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.851061e-07,3.365480e+03,3.595238e-06,1.552735e-09,-2.474608e+00,9.097795e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.824677e+01,1.516130e-02,1.198868e+00,-3.516966e-09,8.963560e-12,7.604300e-09,5.907709e-09,-1.508584e-11,2.734529e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.998379e-08,-3.363959e-11,-3.811023e-01,-1.250363e-03,-1.709218e-07,-2.720000e+03,-8.797950e+00,-1.516130e-02,1.603053e+01,3.583997e-08,2.279969e-06,9.666271e-09,1.297507e-03,2.956535e-02,-3.048722e-03
1.522947e-04,6.185303e-07,1.658590e+04,-8.209782e-07,3.190756e-14,-1.219550e+01,5.733604e-03,3.045894e-06,3.101381e-11,0.000000e+00,0.000000e+00,1.431887e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.185303e-07,3.365482e+03,3.901498e-06,3.299476e-09,-2.474609e+00,9.097796e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.291492e+01,-7.088516e-03,-1.395968e+00,-3.836654e-09,9.872772e-12,8.293295e-09,6.458768e-09,-1.660187e-11,2.990342e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.159451e-07,-3.986024e-11,-4.142416e-01,-1.339130e-03,-6.809647e-07,-2.720000e+03,-4.192894e+00,7.088516e-03,1.229485e+01,4.131832e-08,2.756987e-06,-6.892316e-09,2.606297e-04,3.369301e-02,2.720661e-03
1.614324e-04,6.555165e-07,1.658590e+04,-8.209782e-07,3.683372e-14,-1.219550e+01,5.733604e-03,3.045894e-06,3.062286e-11,0.000000e+00,0.000000e+00,1.628660e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.555165e-07,3.365482e+03,4.031982e-06,1.331557e-10,-2.474609e+00,9.097796e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.311832e+01,-3.110456e-01,-9.890714e-01,-4.083022e-09,1.082146e-11,8.826024e-09,6.884859e-09,-1.817608e-11,3.187480e-09,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.284075e-07,-4.223672e-11,-4.390961e-01,-1.376201e-03,2.480426e-07,-2.720000e+03,-4.647631e+00,3.110456e-01,1.230724e+01,3.440582e-08,2.845043e-06,1.874869e-08,-3.038148e-03,-3.572571e-02,3.479127e-04
